City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,puerto ayora,-33.9617,25.6208,20.64,94,75,3.6,ZA,"Feb 07, 2023, Tue, 23:00"
167,katsuura,-12.7406,-60.1458,19.49,98,63,0.59,BR,"Feb 07, 2023, Tue, 23:00"
168,norman wells,-13.9974,-171.4289,28.06,76,49,5.82,WS,"Feb 07, 2023, Tue, 23:00"
169,sorland,-17.8775,36.8902,25.97,89,40,1.03,MZ,"Feb 07, 2023, Tue, 23:00"
170,powell,50.1425,48.5684,-12.06,89,6,5.93,RU,"Feb 07, 2023, Tue, 23:00"
171,nalut,45.3584,-73.479,3.32,90,100,5.66,CA,"Feb 07, 2023, Tue, 23:00"
172,port elizabeth,33.7495,-117.8732,16.47,49,0,2.06,US,"Feb 07, 2023, Tue, 23:00"
173,vilhena,8.2037,-59.7849,21.15,99,30,0.94,GY,"Feb 07, 2023, Tue, 23:00"
174,samusu,-32.9978,17.9456,19.15,76,0,3.92,ZA,"Feb 07, 2023, Tue, 23:00"
175,quelimane,-23.6464,-70.398,20.66,84,84,2.09,CL,"Feb 07, 2023, Tue, 23:00"
176,aleksandrov gay,-20.3112,118.5801,35.02,46,52,6.69,AU,"Feb 07, 2023, Tue, 23:00"
177,saint-philippe,32.4676,14.5656,11.72,72,91,9.16,LY,"Feb 07, 2023, Tue, 23:00"
178,santa ana,3.166,-52.334,21.94,100,99,0.64,GF,"Feb 07, 2023, Tue, 23:00"
179,mabaruma,35.8509,71.7902,3.38,48,26,2.84,PK,"Feb 07, 2023, Tue, 23:00"
180,saldanha,-29.9855,-50.1316,23.14,85,5,5.57,BR,"Feb 07, 2023, Tue, 23:00"
181,antofagasta,-35.7072,150.1783,21.77,77,100,0.65,AU,"Feb 07, 2023, Tue, 23:00"
182,tumannyy,50.2299,136.9015,-17.77,77,97,2.15,RU,"Feb 07, 2023, Tue, 23:00"
183,port hedland,6.8137,-58.1624,24.16,91,40,2.5,GY,"Feb 07, 2023, Tue, 23:00"
184,zlitan,-28.6483,153.6178,27.75,57,82,4.85,AU,"Feb 07, 2023, Tue, 23:00"
185,camopi,26.5383,-77.061,21.98,63,2,7.62,BS,"Feb 07, 2023, Tue, 23:00"
186,chitral,-1.2017,-46.0206,23.57,94,100,1.75,BR,"Feb 07, 2023, Tue, 23:00"
187,tramandai,51.3347,121.8112,-15.74,68,62,4.44,CN,"Feb 07, 2023, Tue, 23:00"
188,batemans bay,16.9875,-99.2589,19.57,76,1,1.6,MX,"Feb 07, 2023, Tue, 23:00"
189,amursk,71.039,27.8518,-1.03,69,0,12.35,NO,"Feb 07, 2023, Tue, 23:00"
190,georgetown,-20.3297,-40.2925,25.53,91,40,0.0,BR,"Feb 07, 2023, Tue, 23:00"
191,byron bay,24.4538,54.3774,24.42,76,72,1.54,AE,"Feb 07, 2023, Tue, 23:00"
192,marsh harbour,68.8929,-179.4131,-30.51,95,99,4.25,RU,"Feb 07, 2023, Tue, 23:00"
193,carutapera,-28.4689,-65.7791,29.95,44,89,0.89,AR,"Feb 07, 2023, Tue, 23:00"
194,genhe,18.2146,-63.0518,25.0,75,0,8.92,AI,"Feb 07, 2023, Tue, 23:00"
195,tecoanapa,41.912,110.2838,-2.78,34,100,1.52,CN,"Feb 07, 2023, Tue, 23:00"
